Formula label,helper lipid,NP ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU in HepG2,RLU in N2a,RLU in ARPE19
426,DOTAP,12,200,40,100,0.693,4.779,7.156
427,DOTAP,4,200,60,100,0.693,3.332,3.178
428,DOTAP,8,200,60,100,0.693,4.977,6.907
429,DOTAP,12,200,60,100,0.916,4.796,6.494
430,DOTAP,4,200,80,100,1.099,2.398,3.401
431,DOTAP,8,200,80,100,0,3.85,3.332
432,DOTAP,12,200,80,100,1.253,3.611,3.738
433,DOTAP,4,100,20,100,1.705,2.89,6.335
434,DOTAP,8,100,20,100,0.693,3.296,5.215
435,DOTAP,12,100,20,100,1.253,1.946,2.708
436,DOTAP,4,100,40,100,1.504,1.946,3.258
437,DOTAP,8,100,40,100,1.099,5.293,6.652
438,DOTAP,12,100,40,100,1.504,5.011,6.428
439,DOTAP,4,100,60,100,1.099,4.431,4.99
440,DOTAP,8,100,60,100,0.405,1.386,3.611
441,DOTAP,12,100,60,100,0.405,4.248,6.161
442,DOTAP,4,100,80,100,0.916,1.609,3.258
443,DOTAP,8,100,80,100,0,3.401,3.784
444,DOTAP,12,100,80,100,1.099,2.303,3.367
445,DOTAP,4,50,20,100,0.916,5.303,6.766
446,DOTAP,8,50,20,100,1.099,4.394,4.745
447,DOTAP,12,50,20,100,0.693,1.946,2.565
448,DOTAP,4,50,40,100,1.504,5.398,7.419
449,DOTAP,8,50,40,100,0.693,5.638,7.412
450,DOTAP,12,50,40,100,1.099,5.22,6.261
451,DOTAP,4,50,60,100,0.693,4.99,7.476
452,DOTAP,8,50,60,100,1.099,5.236,7.001
453,DOTAP,12,50,60,100,2.015,4.654,6.916
454,DOTAP,4,50,80,100,1.099,2.996,3.912
455,DOTAP,8,50,80,100,1.253,3.091,4.22
456,DOTAP,12,50,80,100,1.253,3.296,3.296
457,DOTAP,4,10,20,100,5.489,6.936,6.485
458,DOTAP,8,10,20,100,4.668,6.157,3.555
459,DOTAP,12,10,20,100,5.885,3.258,2.079
460,DOTAP,4,10,40,100,6.134,6.468,5.624
461,DOTAP,8,10,40,100,6.306,7.005,5.953
462,DOTAP,12,10,40,100,6.244,5.638,6.859
463,DOTAP,4,10,60,100,5.697,6.288,5.193
464,DOTAP,8,10,60,100,5.773,6.845,5.204
465,DOTAP,12,10,60,100,5.717,5.231,5.352
466,DOTAP,4,10,80,100,3.481,5.727,2.773
467,DOTAP,8,10,80,100,3.784,6.144,5.22
468,DOTAP,12,10,80,100,2.398,3.638,2.708
469,DOTAP,4,1,20,100,7.643,8.379,6.39
470,DOTAP,8,1,20,100,8.974,4.575,4.691
471,DOTAP,12,1,20,100,8.962,3.932,2.303
472,DOTAP,4,1,40,100,8.723,9.966,7.224
473,DOTAP,8,1,40,100,9.233,6.946,5.737
474,DOTAP,12,1,40,100,8.639,6.542,5.991
475,DOTAP,4,1,60,100,6.978,10.418,6.718
476,DOTAP,8,1,60,100,8.448,6.495,5.313
